isoCode;count;prob;energy_price_per_kWh;renewables_percentage
CN;886;0.47634408602150535;0.082;0.28278
KR;456;0.24516129032258063;0.097;0.09711
HK;158;0.08494623655913978;0.150;0.0003
US;147;0.07903225806451612;0.159;0.20935
CA;26;0.013978494623655914;0.115;0.68889
AU;18;0.00967741935483871;0.217;0.29722
BE;17;0.00913978494623656;0.304;0.23836
NL;17;0.00913978494623656;0.199;0.33982
JP;16;0.008602150537634409;0.234;0.26161
DE;14;0.007526881720430108;0.331;0.40649
RU;11;0.005913978494623656;0.074;0.18677
SG;10;0.005376344086021506;0.180;0.02132
TW;9;0.004838709677419355;0.098;0.07089
UA;9;0.004838709677419355;0.057;0.13964
FR;7;0.003763440860215054;0.193;0.21955
NO;7;0.003763440860215054;0.141;0.99537
GB;7;0.003763440860215054;0.269;0.3978
ES;5;0.002688172043010753;0.252;0.463
VN;4;0.002150537634408602;0.081;0.36724
MY;4;0.002150537634408602;0.050;0.12227
BG;3;0.0016129032258064516;0.129;0.19877
SE;3;0.0016129032258064516;0.176;0.67335
IR;3;0.0016129032258064516;0.005;0.09437
ID;3;0.0016129032258064516;0.099;0.13205
FI;2;0.001075268817204301;0.179;0.52331
IE;2;0.001075268817204301;0.252;0.38369
PL;2;0.001075268817204301;0.169;0.17135
IN;2;0.001075268817204301;0.077;0.20178
RO;2;0.001075268817204301;0.155;0.44557
AE;1;0.0005376344086021505;0.081;0.02889
PT;1;0.0005376344086021505;0.239;0.62977
SI;1;0.0005376344086021505;0.187;0.33977
NZ;1;0.0005376344086021505;0.192;0.78771
LV;1;0.0005376344086021505;0.163;0.63007
DK;1;0.0005376344086021505;0.344;0.7509
CZ;1;0.0005376344086021505;0.235;0.1298
CH;1;0.0005376344086021505;0.206;0.66029
BY;1;0.0005376344086021505;0.062;0.03399
RS;1;0.0005376344086021505;0.091;0.33441